timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1443289857348496,3,9,-3,-2,-3,-1,0,0
1443289857369518,-2,-11,-2,-2,-1,0,0,-1
1443289857369518,2,21,-3,-3,-3,-2,-4,-4
1443289857371513,-7,-17,1,-1,0,1,-1,-1
1443289857371513,-1,-8,0,2,0,-1,0,1
1443289857383519,5,16,-1,-2,-1,-1,1,1
1443289857383519,0,-5,-1,0,-2,-2,0,-2
1443289857390533,-2,-17,0,-3,-1,-1,-1,1
1443289857390533,-2,22,1,0,0,-2,-3,-3
1443289857407540,0,3,-1,0,-1,0,1,0
1443289857407540,0,1,1,3,1,2,5,1
1443289857408537,1,-5,-6,0,-2,0,-3,-3
1443289857408537,-3,-10,-7,-6,-3,-2,-1,-1
1443289857429555,5,4,1,-2,-2,0,-4,-1
1443289857429555,-4,-1,5,8,2,-1,-1,0
1443289857431552,2,9,1,0,-1,1,4,1
1443289857431552,-1,-14,-3,2,-2,1,-1,-1
1443289857443565,-3,4,1,-1,1,-1,-3,-1
1443289857443565,-2,-15,-3,-2,-1,1,0,-2
1443289857450565,8,32,5,-1,0,-1,-2,-2
1443289857450565,1,1,0,-3,-2,1,-2,0
1443289857467577,-6,-20,-6,-1,-1,-2,-1,-1
1443289857467577,-1,13,0,-1,-2,-3,-2,0
1443289857468578,-4,-24,-5,-1,-1,-2,-2,-1
1443289857468578,-2,-4,2,0,-1,-2,1,0
1443289857489598,-6,17,2,-3,-1,0,0,-1
1443289857489598,6,-4,-1,-1,-3,0,0,1
1443289857491592,1,2,1,-4,-2,-1,-1,-2
1443289857491592,7,4,2,0,-1,-1,0,-1
1443289857503600,0,-15,-2,-1,-2,2,1,-1
1443289857503600,-9,-8,-7,-7,-3,-1,0,-3
1443289857510608,-2,15,8,3,0,-1,-1,1
1443289857510608,-2,-5,-2,1,1,0,-1,-2
1443289857527647,0,4,-5,0,0,-3,-1,-1
1443289857527647,-1,-37,-6,-6,-2,-1,-6,-2
1443289857528617,3,51,6,-2,-2,-2,1,-1
1443289857528617,-6,-5,-3,0,-1,-3,1,-1
1443289857549632,6,-9,-2,-5,0,0,2,2
1443289857549632,-1,9,1,5,2,1,0,-2
1443289857551631,-5,-16,-6,-1,-1,-1,-4,-2
1443289857551631,2,-4,2,0,-1,-2,1,-3
1443289857563641,-3,11,1,0,-3,-2,-5,0
1443289857563641,-9,-10,-2,-3,-1,0,0,0
1443289857572647,11,-7,-1,1,-1,-1,-1,0
1443289857572647,0,17,-6,-1,-1,-1,-2,-2
1443289857586656,-1,-14,0,-1,0,-1,-1,-4
1443289857586656,2,4,4,-4,-3,-1,-1,1
1443289857588656,-9,-10,-7,-2,-1,0,-1,-2
1443289857588656,-2,-15,-3,-4,-1,1,-2,-1
1443289857609675,-3,2,2,4,1,0,2,-1
1443289857609675,-6,4,-3,0,1,1,-1,-2
1443289857611673,5,-3,1,-3,-2,-2,2,0
1443289857611673,1,12,-1,-1,-2,0,1,0
1443289857623681,1,11,2,1,-1,0,0,1
1443289857623681,0,5,0,-1,0,-1,1,0
1443289857632686,-5,-9,-2,-4,-1,0,-1,1
1443289857632686,-1,-18,-2,-2,-2,0,-11,-3
1443289857646697,0,6,0,0,0,0,4,1
1443289857646697,-5,-7,0,-2,-1,0,1,0
1443289857648697,-3,9,2,5,0,-1,-2,-1
1443289857648697,3,4,0,0,0,0,1,2
1443289857669711,-2,-12,-5,-3,-3,-2,-5,-3
1443289857669711,1,-1,-2,0,-1,1,-1,0
1443289857671713,-2,0,3,1,2,-1,1,-2
1443289857671713,-1,0,2,1,1,0,0,0
1443289857683722,-3,-13,-4,0,0,1,1,-1
1443289857683722,2,17,1,-5,-2,-3,0,-3
1443289857692727,-7,-12,0,1,0,-1,-2,-1
1443289857692727,8,28,2,-1,-1,0,-1,-1
1443289857706735,0,-1,-2,0,-1,0,-1,-1
1443289857706735,-3,-9,-1,1,-1,0,-2,-1
1443289857708737,-1,-5,1,-2,0,0,-1,-1
1443289857708737,-1,-16,-1,2,0,-1,0,0
1443289857729753,-1,-1,-3,-2,-1,0,1,1
1443289857729753,4,19,1,-1,-2,-2,-1,-2
1443289857731753,-2,-1,-2,-3,-3,1,-1,-3
1443289857731753,-6,-7,0,-2,-1,-1,0,-1
1443289857743761,2,0,-1,-1,-2,0,-1,0
1443289857743761,1,-7,-1,-1,0,-1,1,1
1443289857752766,2,-2,-5,1,1,1,-2,1
1443289857752766,0,-8,0,2,-2,-1,-1,-2
1443289857766775,0,1,2,-3,-3,-2,-2,-2
1443289857766775,0,25,1,3,1,0,-5,0
1443289857768776,0,-1,-1,-4,-2,-1,2,0
1443289857768776,2,-4,-3,-1,-1,0,0,-1
1443289857789799,-3,-11,0,-1,0,-1,1,0
1443289857789799,5,5,0,1,-1,0,6,0
